system:index,NBR,NDVI,date,month,year,.geo
0,0.13621141169509632,0.2683326103963254,2023-01,1.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.10435835897119572,0.2468620150887069,2023-02,2.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.08568282698526482,0.22794097500836757,2023-03,3.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.07509515564869025,0.22205739739957084,2023-04,4.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.09720037398141679,0.2390074725306405,2023-05,5.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.10681080513396797,0.19323852419879323,2023-06,6.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.1438559931604809,0.1731221422706625,2023-07,7.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.14327381664917532,0.21205063423604142,2023-08,8.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.19289562924063275,0.23636027810410262,2023-09,9.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.2084976753515178,0.3146054015355517,2023-10,10.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.18368712175513435,0.293129535860748,2023-11,11.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.15796078277441442,0.2857631630067895,2023-12,12.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.11217795903280499,0.24473004950401014,2024-01,1.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.07708090389848647,0.22056486108604206,2024-02,2.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.0583726682713795,0.2028476671145858,2024-03,3.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.043167876571403946,0.19972987979368118,2024-04,4.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.06508323479635855,0.1972704165734953,2024-05,5.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.14064899045199158,0.19080005953628512,2024-06,6.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.12345457924158057,0.21830577456094585,2024-07,7.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.20201217201328356,0.24374370383026223,2024-08,8.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.22103989191698065,0.27300758498702854,2024-09,9.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.23928267137856124,0.3065162460870512,2024-10,10.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.23200718623442657,0.3124570063478016,2024-11,11.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.17283140291183585,0.28493330338217643,2024-12,12.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.13485176792061873,0.2663908384548161,2025-01,1.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.10149350816133836,0.24697618428549886,2025-02,2.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.0825985650656678,0.22766307295013863,2025-03,3.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.09152796411277453,0.21839364175120154,2025-04,4.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.10226597340338442,0.2466204699264478,2025-05,5.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.11657534325843792,0.2084503034420456,2025-06,6.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.11502101916254223,0.1658423116414408,2025-07,7.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.17334117720706388,0.23055661359578283,2025-08,8.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.2399378162291707,0.2960764395122348,2025-09,9.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.21759519395659974,0.30034483349668484,2025-10,10.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.2142577423630395,0.3181034915589488,2025-11,11.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.1777405296464439,0.29733715898282403,2025-12,12.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
