system:index,NBR,NDVI,date,month,year,.geo
0,0.28583869713496657,0.4015555335846218,2023-01,1.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.2717765532586518,0.38984822032554617,2023-02,2.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.24188521745102148,0.3526053460340778,2023-03,3.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.254125712389114,0.3326373577942188,2023-04,4.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.2882746186774236,0.3330014776715771,2023-05,5.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.3045266064186095,0.22190832429492652,2023-06,6.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.29076491302736646,0.2936380680240193,2023-07,7.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.2895358510971732,0.32813637936546963,2023-08,8.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.2725288761555795,0.22061037416137552,2023-09,9.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.29702074686293084,0.33203581426700673,2023-10,10.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.2932831452692026,0.3439586474696158,2023-11,11.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.30691690095300067,0.4076151604365302,2023-12,12.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.2962959539997295,0.40205928215869924,2024-01,1.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.28459164281268595,0.39483821541885544,2024-02,2.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.25744627543129406,0.34790372066556335,2024-03,3.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.24548625648452857,0.3291747797833477,2024-04,4.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.261791658245839,0.35311317172619217,2024-05,5.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.2861614607954189,0.2940754621754633,2024-06,6.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.29937303402832544,0.34865662276910275,2024-07,7.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.2763884981357507,0.3048628396921006,2024-08,8.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.28334226233136217,0.320912296674849,2024-09,9.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.2827206754698733,0.25811363808260535,2024-10,10.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.28614269158827954,0.3456750745566044,2024-11,11.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.30552677034541886,0.40650111335689737,2024-12,12.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.29085689913370744,0.4063676265173035,2025-01,1.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.2850450427035321,0.4015719359244198,2025-02,2.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.2534000121309123,0.3409246958311008,2025-03,3.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.28764335860468554,0.3603829882132542,2025-04,4.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.3017882696429535,0.3577286613226979,2025-05,5.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.31227415949191895,0.26588607179675466,2025-06,6.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.3006000096089651,0.21176031730062775,2025-07,7.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.2694137511291814,0.2867069946580202,2025-08,8.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.2782937318606239,0.3210585081649261,2025-09,9.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.30133732025791615,0.3195456541705626,2025-10,10.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.289682553213595,0.35171771800666685,2025-11,11.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.30518034243223735,0.40865003992597204,2025-12,12.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
