system:index,NBR,NDVI,date,month,year,.geo
0,0.1517686947383258,0.25989152542772914,2023-01,1.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.11723717910873495,0.23096393725790987,2023-02,2.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.07281390519916026,0.18472979814690396,2023-03,3.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.04654837927533449,0.16894295154047662,2023-04,4.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.062480748188682725,0.18550947688460817,2023-05,5.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.06259547690896755,0.15390630464372385,2023-06,6.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.09820683181997902,0.16753069456096442,2023-07,7.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.2499332720705081,0.26863311412887064,2023-08,8.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.2634102986935972,0.3136916254314469,2023-09,9.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.25582161228437517,0.3618784636699043,2023-10,10.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.1948533136495408,0.27910461662560615,2023-11,11.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.16969847601852067,0.289993807653995,2023-12,12.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.15354741361140375,0.2667854202414899,2024-01,1.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.10253801886674109,0.2225951328174525,2024-02,2.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.06255223695588652,0.18185532940592095,2024-03,3.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.037111042098621295,0.165953427901897,2024-04,4.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.04466089492126059,0.16020212005699583,2024-05,5.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.06998379955230176,0.14910849407521123,2024-06,6.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.26603018768618486,0.2741133202714797,2024-07,7.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.2653298680278068,0.33004849510918205,2024-08,8.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.266742607845625,0.3173787794662597,2024-09,9.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.2459873211041438,0.32549239863225693,2024-10,10.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.2235311591408904,0.32507664521969676,2024-11,11.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.1788428236295213,0.27382229444507433,2024-12,12.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.14959124357318765,0.26322869901652013,2025-01,1.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.10791048845367424,0.22581444424469974,2025-02,2.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.07575879257909525,0.18000712582704487,2025-03,3.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.054463678736482606,0.1685259537343091,2025-04,4.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.06033522438269301,0.15594831802996667,2025-05,5.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.1315773838688005,0.18020964852885438,2025-06,6.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.24351810750471697,0.20016187085052184,2025-07,7.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.2413869837460059,0.2486415979405323,2025-08,8.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.26019301488803853,0.3146583939020841,2025-09,9.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.23986434224658515,0.3258460555651193,2025-10,10.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.21423612835129738,0.3172649838589865,2025-11,11.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.18521770331057846,0.2948216882269361,2025-12,12.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
