system:index,NBR,NDVI,date,month,year,.geo,deforestation
0,0.2872889831,0.4058947303,2023-01,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}",No
1,0.2709411926,0.390887031,2023-02,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}",
2,0.2389429141,0.3653218388,2023-03,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}",
3,0.2557345189,0.3448106843,2023-04,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}",
4,0.2965682089,0.3744458387,2023-05,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}",
5,0.1931439643,0.2320221965,2023-06,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}",
6,0.2872902357,0.2263563325,2023-07,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}",
7,0.2948467929,0.3475427156,2023-08,8,2023,"{""type"":""MultiPoint"",""coordinates"":[]}",
8,0.2216731888,0.2725351707,2023-09,9,2023,"{""type"":""MultiPoint"",""coordinates"":[]}",
9,0.3056201148,0.3742265361,2023-10,10,2023,"{""type"":""MultiPoint"",""coordinates"":[]}",
10,0.3054339124,0.3876868451,2023-11,11,2023,"{""type"":""MultiPoint"",""coordinates"":[]}",
11,0.3135271108,0.4301938385,2023-12,12,2023,"{""type"":""MultiPoint"",""coordinates"":[]}",
12,0.2988422692,0.4092288677,2024-01,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",
13,0.286651102,0.3985201585,2024-02,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",
14,0.2609667034,0.3529859894,2024-03,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",
15,0.2404494067,0.3363549154,2024-04,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",
16,0.2597943432,0.376494579,2024-05,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",
17,0.2683274366,0.1385090154,2024-06,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",
18,0.299373034,0.3486566228,2024-07,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",
19,0.2950846057,0.3766821226,2024-08,8,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",
20,0.2894781278,0.3543365899,2024-09,9,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",
21,0.296931025,0.2523219961,2024-10,10,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",
22,0.2920268774,0.3573909975,2024-11,11,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",
23,0.3080844438,0.4127589862,2024-12,12,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",
24,0.2953652034,0.4153357215,2025-01,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",
25,0.2846821172,0.4034818627,2025-02,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",
26,0.2546169887,0.3480339884,2025-03,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",
27,0.2999925917,0.3929381985,2025-04,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",
28,0.3115970513,0.3875187582,2025-05,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",
29,0.3235072947,0.3179558945,2025-06,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",
30,0.3198958994,0.2163484065,2025-07,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",
31,0.3183170369,0.4023715803,2025-08,8,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",
32,0.2807921708,0.3498047835,2025-09,9,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",
33,0.3097571358,0.4218949776,2025-10,10,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",
34,0.2945189448,0.371872465,2025-11,11,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",
35,0.305845495,0.4182771485,2025-12,12,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",
